t1,t2,t3,t4,t5,t6,t7,t8,t9,trt
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0,1
1,0,0,1,1,0,0,0,0,1
1,0,0,1,1,0,0,0,0,1
1,0,0,1,1,0,0,0,0,1
1,0,0,1,1,0,0,0,0,1
1,0,0,1,1,0,0,0,0,1
1,0,0,1,1,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0
1,0,1,0,1,0,0,0,0,1
1,0,1,0,1,0,0,0,0,1
1,0,1,0,1,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,0,1,1,1,0,1,1,1,1
1,0,1,1,1,0,1,1,1,1
1,0,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,0,0,0
1,1,0,0,0,0,1,0,1,1
1,1,0,0,0,0,1,0,1,1
1,1,1,1,1,0,0,0,0,1
1,1,1,1,1,0,0,0,0,1
1,1,1,1,1,0,0,0,0,1
1,1,1,1,1,0,0,0,0,1
1,1,1,1,1,0,0,0,0,1
1,1,1,1,1,0,0,0,0,1
1,1,1,1,1,0,0,0,0,1
1,1,1,1,1,0,0,0,0,1
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,0,0,1,1,0,0,0,1
1,1,0,0,1,1,0,0,0,1
1,1,0,0,1,1,0,0,0,0
1,1,0,0,1,1,0,0,0,0
1,0,1,1,0,1,0,1,0,1
1,0,1,1,0,1,0,1,0,1
1,1,1,0,0,0,1,1,0,1
1,1,1,0,0,0,1,1,0,1
1,1,1,0,0,0,1,1,0,0
1,1,1,0,0,0,1,1,0,0
1,0,1,1,0,1,0,0,0,1
1,0,1,1,0,1,0,0,0,1
1,0,1,1,0,1,0,0,0,0
1,0,1,1,0,1,0,0,0,0
1,0,1,1,0,1,0,0,0,0
1,0,1,1,0,1,0,0,0,0
1,0,1,1,1,0,1,0,0,1
1,0,1,1,1,0,1,0,0,1
1,0,1,1,1,0,1,0,0,1
1,0,1,1,1,0,1,0,0,1
1,1,0,1,1,0,0,0,0,1
1,1,0,1,1,0,0,0,0,1
1,1,0,1,1,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0
1,0,1,0,0,0,1,0,1,1
1,0,1,0,0,0,1,0,1,1
1,1,1,0,1,1,1,1,0,1
1,1,1,0,1,1,1,1,0,1
1,1,0,1,0,1,1,0,0,1
1,1,0,1,0,1,1,0,0,1
1,0,1,1,0,0,0,0,0,1
1,0,1,1,0,0,0,0,0,1
1,0,1,1,0,0,0,0,0,1
1,0,1,1,0,0,0,0,0,1
1,0,1,1,0,0,0,0,0,1
1,0,1,1,0,0,0,0,0,1
1,0,1,1,0,0,0,0,0,1
1,0,1,1,0,0,0,0,0,1
1,0,1,1,0,0,0,0,0,1
1,0,1,1,0,0,0,0,0,1
1,0,1,1,0,0,0,0,0,1
1,0,1,1,0,0,0,0,0,1
1,0,1,1,0,0,0,0,0,1
1,0,1,1,0,0,0,0,0,1
1,0,1,1,0,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0
1,0,1,0,1,1,0,0,0,1
1,0,1,0,1,1,0,0,0,1
1,1,1,0,0,1,1,0,0,1
1,1,1,0,0,1,1,0,0,1
1,1,1,0,0,1,1,0,0,1
